,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Tibetan_Gannan:GN19,0.023903,-0.39301,0.004148,-0.052003,0.023389,0.015618,0.008225,-0.000692,-0.006954,0.002369,-0.074536,-0.016335,0.01219,-0.004954,-0.006243,-0.003845,-0.000652,-0.005828,-0.004274,0.00075,0.004866,0.012613,0.005916,-0.005543,0.017603
Tibetan_Lhasa:T125,0.026179,-0.410274,0.009428,-0.035853,0.011387,0.000279,0.00799,0.003,-0.001432,0.018406,-0.077784,-0.002847,0.008474,-0.014038,-0.014115,-0.00305,-0.000652,-0.001647,-0.007416,0.009379,0.001996,0.017682,-0.000863,-0.000723,0.045984
Tibetan_Lhasa:T165,0.021626,-0.416367,0.006788,-0.041021,0.015695,0.008088,0.011516,0.011307,0.008795,0.024966,-0.09045,-0.009741,0.00892,-0.000826,-0.015472,-0.006497,-0.004955,-0.003421,-0.006411,0.008754,0.001747,0.020279,0.008134,0.002289,0.036883
Tibetan_Lhasa:T170,0.014797,-0.414336,0.004148,-0.038114,0.022466,-0.001952,0.008225,0.006,0.013703,0.014943,-0.083305,-0.004796,0.008325,-0.005092,-0.014658,-0.007955,0.00013,0.002027,-0.008547,0.01138,-0.001622,0.02065,0.011339,-0.005543,0.029458
Tibetan_Lhasa:T18,0.023903,-0.409258,0.001131,-0.042959,0.011387,0.006693,0.012691,0.003692,0.000409,0.01057,-0.074212,-0.003147,0.015758,0.006055,-0.003257,-0.004773,-0.009779,-0.010642,-0.018729,-0.004002,0.001373,0.026709,0.00419,0.004338,0.038919
Tibetan_Lhasa:T181,0.022765,-0.409258,0.007165,-0.030685,0.015695,0.012829,0.00517,0.011307,0.000409,0.00492,-0.07681,-0.01109,0.010406,-0.007432,-0.013301,0.000265,-0.002868,-0.00228,-0.010936,0.00025,0.001373,0.025472,0.001972,0.005543,0.033889
Tibetan_Lhasa:T183,0.020488,-0.409258,0.006788,-0.046189,0.01508,0.005578,0.018801,0.008769,-0.001636,0.008565,-0.088664,-0.004796,0.006244,-0.008945,-0.016965,-0.006099,-0.001825,-0.004434,-0.014581,0.002251,0.002496,0.020032,0.014173,-0.011568,0.037242
Tibetan_Lhasa:T185,0.022765,-0.416367,0.002263,-0.041021,0.01231,0.003347,0.004935,0.006692,0.002659,0.012028,-0.089314,-0.006594,0.011298,-0.006468,-0.004886,-0.002254,0.00352,-0.004814,-0.014958,0.004377,-0.001872,0.026709,0.000739,-0.001928,0.030536
Tibetan_Lhasa:T21,0.028456,-0.415352,0.011314,-0.032946,0.01231,0.009203,0.002585,0.005077,0.002659,0.008747,-0.081519,-0.012439,0.008771,-0.008257,-0.005836,-0.00053,0.012256,-0.004561,-0.005279,0.006503,-0.000499,0.022628,-0.001232,0.00253,0.039637
Tibetan_Lhasa:T76,0.023903,-0.416367,0.015462,-0.04199,0.012925,0,0.008225,0.008077,0.007772,0.018953,-0.088989,-0.009891,0.004311,-0.00523,-0.015744,-0.002519,0.008475,-0.003294,-0.009176,0.007128,0.003244,0.023123,0.005176,-0.008314,0.030536
Tibetan_Nagqu:T121,0.017073,-0.426522,0.007542,-0.034561,0.014464,0.007809,0.002115,0.003692,0.002659,0.012392,-0.087852,-0.007643,0.011001,-0.004266,-0.004614,-0.003845,0.004433,-0.003674,-0.008673,0.011255,-0.000499,0.025967,0.004067,0.008917,0.034727
Tibetan_Nagqu:T187,0.017073,-0.420429,0.004148,-0.038437,0.014464,0.004741,0.005405,0.013615,-0.000818,0.017859,-0.085903,-0.007493,0.01115,-0.005092,-0.0095,-0.000663,-0.004172,-0.009248,-0.004525,-0.001501,-0.004367,0.023989,0.004683,0.000482,0.034368
Tibetan_Nagqu:T238,0.028456,-0.421445,0.019233,-0.044251,0.017234,-0.000279,0.007755,0.011538,0.005727,0.005467,-0.085903,-0.008542,0.020069,-0.010322,-0.006922,-0.00053,-0.000652,0.004434,-0.006159,0.002876,-0.000499,0.021268,0.008258,-0.003735,0.02874
Tibetan_Nagqu:T278,0.015935,-0.417383,0.001508,-0.033915,0.009232,0.006693,0.0047,0.001385,-0.001023,0.017312,-0.079408,-0.007793,0.012636,-0.006331,-0.012215,0.003978,0.008736,-0.00114,-0.006536,0.01013,-0.000125,0.023989,-0.002588,0.003012,0.034847
Tibetan_Nagqu:T312,0.027318,-0.420429,0.012068,-0.031008,0.008309,0.006136,0.012691,0.011769,0.003477,0.018953,-0.089801,-0.01109,0.014123,0.006331,-0.009229,0.003182,0.008345,0.000253,-0.013575,0.007003,-0.003119,0.02844,-0.002218,-0.001084,0.037841
Tibetan_Nagqu:T320,0.021626,-0.415352,0.009051,-0.04522,0.020004,-0.003904,0.019271,0.006461,0.000409,0.003462,-0.089314,-0.005545,0.013974,-0.001101,-0.008958,-0.00053,-0.008475,-0.004054,-0.00729,0.007128,0.002371,0.022628,0.006902,0.001084,0.037482
Tibetan_Nagqu:T67,0.023903,-0.428553,0.009051,-0.032946,0.017542,0.003347,0.00564,0.008769,0.006749,0.016037,-0.080545,-0.008243,0.008474,-0.004542,-0.013708,-0.009812,-0.004042,-0.002407,-0.010307,0.004877,-0.001747,0.023494,0.007272,0.005061,0.034009
Tibetan_Nagqu:T91,0.014797,-0.411289,0.007542,-0.042313,0.013233,-0.003904,0.009165,0.006231,0.003681,0.012939,-0.080057,-0.007643,0.012785,-0.007569,-0.007057,-0.007425,-0.000652,-0.003801,-0.003142,0.001376,-0.006364,0.026462,0.002958,-0.003253,0.025267
Tibetan_Shannan:T126,0.028456,-0.404181,0.003771,-0.036176,0.00954,0.000837,0.00846,0.008307,0.001432,0.006014,-0.079408,-0.004796,0.017839,0.000826,-0.007736,-0.001458,0.003651,-0.007348,-0.009302,0.012631,0.002246,0.026585,0.003821,-0.001446,0.040356
Tibetan_Shannan:T127,0.026179,-0.408243,0.008674,-0.034238,0.01908,-0.002789,0.003995,0.000231,0.00859,0.014943,-0.087203,-0.004046,0.016353,-0.004404,-0.004886,-0.007425,-0.002217,-0.002534,-0.009427,0.001751,-0.007487,0.023618,0.010846,0.000843,0.033171
