,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
TKM_Namazga_Tepe_En,0.0762615,0.080227,-0.112382,0.0137275,-0.098634,0.0242635,0.011633,-0.0107305,-0.0759805,-0.045741,-8.1e-05,0.001948,-0.0141225,-0.008051,0.0254475,0.021546,-0.0157115,0.000887,0.00817,-0.027263,-0.0001245,-0.0128595,0.0016025,-0.015785,0.011556
TKM_Namazga_Tepe_En_o,0.0774,0.072103,-0.080704,0.024225,-0.093864,0.039045,0.002115,-0.008538,-0.062175,-0.03827,-0.000487,-0.002548,0.000892,-0.021056,0.013029,0.035932,0.002999,0.008488,-0.001885,-0.027888,0.000374,-0.008903,0.00037,-0.012532,0.010418
TKM_Parkhai_EBA,0.086506,0.084289,-0.122564,0.00646,-0.107097,0.021475,0.009635,-0.003,-0.078742,-0.042279,0.002598,0.004346,-0.005352,-0.019267,0.028094,0.038318,0.003651,0.002027,0.004022,-0.019759,0.007112,-0.017806,-0.002465,-0.015906,0.023351
TKM_Parkhai_En,0.0748388,0.0870818,-0.135952,0.0096092,-0.1122518,0.0257975,0.0103405,-0.002596,-0.080838,-0.0501605,-0.001502,0.0027725,-0.0054263,-0.0100122,0.0231063,0.0284072,-0.01017,0.0040222,0.0074475,-0.0241992,0.0038058,-0.0193825,-0.002927,-0.0242202,0.0121542
TKM_Parkhai_LBA,0.083091,0.096475,-0.108988,-0.007106,-0.094479,0.018686,0.003995,-0.001846,-0.079969,-0.039727,0.004872,0.008692,-0.00223,-0.007707,0.021715,0.035667,0.009909,0.005068,0.009553,-0.018759,0.012228,-0.0115,-0.003328,-0.017231,0.01437
TKM_Parkhai_LBA_o,0.087644,0.085304,-0.079572,0.02907,-0.090478,0.019801,0.002115,-0.008307,-0.07281,-0.059773,0.002111,0.001798,0.000149,-0.010184,0.022394,0.018032,-0.005867,0.000507,0.00729,-0.018259,-0.001747,-0.00779,0.00912,-0.01217,0.013651
TKM_Parkhai_MBA,0.080814,0.091398,-0.126335,-0.004522,-0.111713,0.0251,0.00846,-0.006,-0.084468,-0.042825,-0.003897,0.002098,-0.004757,-0.006606,0.020901,0.01432,-0.026729,0.004181,0.018226,-0.029639,0.000125,-0.016693,-0.001479,-0.020123,0.011616
TKM_Sumbar_LBA,0.081953,0.1046,-0.117662,-0.013243,-0.089247,0.014223,0.013396,0.001154,-0.073015,-0.039181,0.000812,-0.002548,-0.009217,-0.006744,0.017915,0.03275,0.007823,0.007348,0.004651,-0.02001,0.002371,-0.010387,-0.005669,-0.013014,0.002634
TKM_Tepe_Anau_En,0.0732263,0.0792113,-0.1250783,0.010982,-0.1101743,0.028726,0.0131607,-0.002923,-0.082014,-0.0498717,-0.002869,0.0031473,-0.0027753,-0.0119733,0.022575,0.0407933,0.0018257,0.0019427,0.009595,-0.021969,0.0064053,-0.0206497,-0.0062857,-0.0210873,0.0116553
TON_2500BP,0.009675,-0.415859,-0.0499685,-0.0499035,0.1481815,0.061495,0.00047,-0.0080765,-0.0243385,-0.017039,0.0531825,0.0086925,-0.004683,-0.0128675,0.0129615,0.006099,-0.0083445,0.0033575,0.012947,-0.0086295,0.0023705,-0.024854,-0.0077645,-0.013255,-0.0644255
